9,229.49
9.05,122.013
9.1,66.5138
9.15,46.098
9.2,48.1389
9.25,63.3933
9.3,85.2702
9.35,109.231
9.4,132.302
9.45,152.678
9.5,169.411
9.55,182.155
9.6,190.98
9.65,196.215
9.7,198.342
9.75,197.909
9.8,195.476
9.85,191.571
9.9,186.67
9.95,181.177
10,175.425
10.05,169.672
10.1,164.107
10.15,158.858
10.2,154
10.25,149.563
10.3,145.545
10.35,141.916
10.4,138.631
10.45,135.63
10.5,132.853
10.55,130.237
10.6,127.722
10.65,125.256
10.7,122.793
10.75,120.297
10.8,117.74
10.85,115.103
10.9,112.376
10.95,109.554
11,106.641
11.05,103.644
11.1,100.572
11.15,97.4403
11.2,94.2621
11.25,91.0519
11.3,87.8235
11.35,84.5893
11.4,81.36
11.45,78.1438
11.5,74.9466
11.55,71.772
11.6,68.6212
11.65,65.493
11.7,62.3847
11.75,59.2917
11.8,56.2085
11.85,53.1285
11.9,50.045
11.95,46.9511
12,43.84
12.05,40.7057
12.1,37.543
12.15,34.3474
12.2,31.1156
12.25,27.8456
12.3,24.5361
12.35,21.187
12.4,17.7993
12.45,14.3745
12.5,10.9146
12.55,7.42226
12.6,3.9
12.65,0.350407
12.7,-3.22425
12.75,-6.82215
12.8,-10.4421
12.85,-14.0838
12.9,-17.7475
12.95,-21.4347
13,-25.1475
13.05,-28.8892
13.1,-32.6636
13.15,-36.4755
13.2,-40.33
13.25,-44.2328
13.3,-48.1896
13.35,-52.2064
13.4,-56.2888
13.45,-60.4421
13.5,-64.6713
13.55,-68.9802
13.6,-73.3724
13.65,-77.8503
13.7,-82.4155
13.75,-87.0688
13.8,-91.81
13.85,-96.6385
13.9,-101.553
13.95,-106.552
14,-111.634
14.05,-116.798
14.1,-122.044
14.15,-127.37
14.2,-132.78
14.25,-138.275
14.3,-143.861
14.35,-149.543
14.4,-155.33
14.45,-161.233
14.5,-167.263
14.55,-173.435
14.6,-179.762
14.65,-186.262
14.7,-192.949
14.75,-199.838
14.8,-206.942
14.85,-214.269
14.9,-221.825
14.95,-229.608
15,-237.61
15.05,-245.813
15.1,-254.187
15.15,-262.691
15.2,-271.27
15.25,-279.853
15.3,-288.349
15.35,-296.654
15.4,-304.642
15.45,-312.168
15.5,-319.069
15.55,-325.163
15.6,-330.25
15.65,-334.117
15.7,-336.535
15.75,-337.269
15.8,-336.077
15.85,-332.715
15.9,-326.948
15.95,-318.551
16,-307.317
16.05,-293.068
16.1,-275.658
16.15,-254.989
16.2,-231.01
16.25,-203.735
16.3,-173.246
16.35,-139.702
16.4,-103.346
16.45,-64.5075
16.5,-23.6124
16.55,18.8219
16.6,62.1845
16.65,105.776
16.7,148.818
16.75,190.459
16.8,229.8
16.85,265.905
16.9,297.834
16.95,324.669
17,345.549
17.05,359.711
17.1,366.534
17.15,365.582
17.2,356.652
17.25,339.826
17.3,315.51
17.35,284.475
17.4,247.89
17.45,207.333
17.5,164.791
17.55,122.626
17.6,83.5131
17.65,50.3253
17.7,25.9705
17.75,13.1528
17.8,14.0505
17.85,29.889
17.9,60.3899
17.95,103.069
