Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
0.0217968,(-0.000193168,-2.94696e-05),(-0.000981171,-0.000193139),0.0217968,1000,0.804822
0.0220064,(0.000548399,0.000313903),(-0.000999884,1.52236e-05),0.0220064,1000,1.57683
0.022216,(-0.000181613,-7.83206e-05),(-0.000974837,0.00022292),0.022216,1000,0.848499
0.0224255,(-0.000341858,9.32684e-05),(-0.000907126,0.00042086),0.0224255,1000,0.653333
0.0226351,(0.000489478,-0.000341161),(-0.000799714,0.000600381),0.0226351,1000,1.59641
0.0228447,(-0.000327479,0.00010541),(-0.000657303,0.000753627),0.0228447,1000,0.727302
0.0230543,(-6.01723e-05,-0.000100671),(-0.000486125,0.000873889),0.0230543,1000,1.06358
0.0232639,(0.000190987,0.000264374),(-0.000293671,0.000955906),0.0232639,1000,0.844459
0.0234735,(-5.58578e-05,-0.000571993),(-8.83653e-05,0.000996088),0.0234735,1000,1.56842
0.023683,(-0.000228021,8.14806e-05),(0.000120808,0.000992676),0.023683,1000,0.975684
0.0238926,(0.000204471,-3.00354e-06),(0.000324694,0.000945819),0.0238926,1000,0.956409
0.0241022,(-8.10968e-05,0.000782269),(0.00051437,0.000857568),0.0241022,1000,0.600209
0.0243118,(-3.26178e-05,-0.000365704),(0.000681534,0.000731786),0.0243118,1000,1.30939
0.0245214,(0.000252098,0.000274189),(0.000818871,0.000573977),0.0245214,1000,0.641175
0.024731,(-0.000336749,-0.000485888),(0.00092037,0.000391048),0.024731,1000,1.53276
0.0249406,(-0.000287792,0.000106035),(0.000981589,0.000191005),0.0249406,1000,1.27222
0.0251501,(0.000188813,-0.00115522),(0.000999849,-1.73982e-05),0.0251501,1000,1.39729
0.0253597,(-0.000242906,-3.17134e-05),(0.00097435,-0.000225039),0.0253597,1000,1.23251
0.0255693,(-0.000185732,-0.000159461),(0.000906208,-0.000422832),0.0255693,1000,1.12325
0.0257789,(0.000224425,0.000860814),(0.000798406,-0.000602119),0.0257789,1000,1.5715
0.0259885,(-0.000262795,0.000263707),(0.000655662,-0.000755054),0.0259885,1000,1.37166
0.0261981,(-0.000269395,0.000314446),(0.000484223,-0.000874945),0.0261981,1000,1.40804
0.0264076,(0.000120076,-0.000574319),(0.000291592,-0.000956543),0.0264076,1000,0.418942
0.0266172,(-0.000275941,0.00250198),(8.61987e-05,-0.000996278),0.0266172,1000,3.51695
0.0268268,(0.000874019,8.64061e-05),(-0.000122967,-0.000992411),0.0268268,1000,1.46895
0.0270364,(-1.27508e-05,0.000815905),(-0.00032675,-0.000945111),0.0270364,1000,1.78879
0.027246,(0.00229691,-0.000135324),(-0.000516234,-0.000856448),0.027246,1000,2.9041
0.0274556,(0.00280327,-0.000132567),(-0.000683124,-0.000730302),0.0274556,1000,3.53726
0.0276652,(-0.000762971,-0.000497812),(-0.000820118,-0.000572195),0.0276652,1000,0.0938003
0.0278747,(-1.42525e-05,0.000381748),(-0.000921219,-0.000389045),0.0278747,1000,1.19026
0.0280843,(-0.00060526,0.000153601),(-0.000982002,-0.000188869),0.0280843,1000,0.509138
0.0282939,(0.001369,2.87036e-05),(-0.000999808,1.95727e-05),0.0282939,1000,2.36882
0.0285035,(-0.000873487,0.000572082),(-0.000973858,0.000227158),0.0285035,1000,0.359231
0.0287131,(-0.00135031,-0.000419506),(-0.000905286,0.000424802),0.0287131,1000,0.954414
0.0289227,(0.000907037,0.000298293),(-0.000797095,0.000603854),0.0289227,1000,1.73131
0.0291322,(0.000729431,0.000566833),(-0.000654018,0.000756479),0.0291322,1000,1.39639
0.0293418,(0.00123348,6.01582e-05),(-0.000482319,0.000875996),0.0293418,1000,1.89988
0.0295514,(0.000537536,0.000147209),(-0.000289511,0.000957175),0.0295514,1000,1.1576
0.029761,(0.00076022,-0.00035889),(-8.40317e-05,0.000996463),0.029761,1000,1.59679
0.0299706,(0.000124846,2.29858e-05),(0.000125125,0.000992141),0.0299706,1000,0.969155
0.0301802,(0.00125377,-0.000608329),(0.000328805,0.000944398),0.0301802,1000,1.80735
0.0303898,(0.000546011,5.07171e-05),(0.000518095,0.000855323),0.0303898,1000,0.80509
0.0305993,(0.000757803,0.000515297),(0.000684711,0.000728815),0.0305993,1000,0.225681
0.0308089,(9.63482e-05,-0.000139555),(0.00082136,0.00057041),0.0308089,1000,1.01474
0.0310185,(-0.000712565,5.76512e-05),(0.000922063,0.000387041),0.0310185,1000,1.66748
0.0312281,(-0.000938341,-0.000280895),(0.000982411,0.000186733),0.0312281,1000,1.97686
0.0314377,(0.000815019,-0.000175436),(0.000999764,-2.17471e-05),0.0314377,1000,0.240314
0.0316473,(0.000299669,0.000471697),(0.000973362,-0.000229276),0.0316473,1000,0.972227
0.0318568,(-0.000430624,0.000526452),(0.00090436,-0.00042677),0.0318568,1000,1.64037
0.0320664,(-0.000449999,0.000854937),(0.00079578,-0.000605586),0.0320664,1000,1.91966
0.032276,(0.000908941,-0.00103429),(0.000652372,-0.000757899),0.032276,1000,0.377122
0.0324856,(-0.000838918,-0.000850807),(0.000480413,-0.000877043),0.0324856,1000,1.31959
0.0326952,(0.000241719,-0.00117409),(0.000287428,-0.000957802),0.0326952,1000,0.221069
0.0329048,(0.000299611,-0.000940335),(8.18643e-05,-0.000996643),0.0329048,1000,0.22491
0.0331144,(-0.000786913,-9.65433e-05),(-0.000127282,-0.000991867),0.0331144,1000,1.11208
0.0333239,(0.00077835,0.000556772),(-0.000330858,-0.00094368),0.0333239,1000,1.86593
0.0335335,(-0.000514688,-0.00112382),(-0.000519954,-0.000854194),0.0335335,1000,0.269682
0.0337431,(-3.37e-05,-0.000167558),(-0.000686294,-0.000727324),0.0337431,1000,0.859778
0.0339527,(0.00025734,-0.000140062),(-0.000822599,-0.000568622),0.0339527,1000,1.16187
0.0341623,(-0.000201847,0.000885729),(-0.000922902,-0.000385035),0.0341623,1000,1.46108
0.0343719,(-0.000263797,0.000413205),(-0.000982814,-0.000184596),0.0343719,1000,0.935067
0.0345814,(0.000509335,0.000747436),(-0.000999714,2.39214e-05),0.0345814,1000,1.67353
0.034791,(-0.000525051,0.000491944),(-0.000972861,0.000231392),0.034791,1000,0.518094
0.0350006,(0.000193317,-0.000411989),(-0.00090343,0.000428736),0.0350006,1000,1.38191
0.0352102,(-0.000166291,-0.00197332),(-0.000794461,0.000607315),0.0352102,1000,2.65599
0.0354198,(0.000292982,0.000730331),(-0.000650722,0.000759316),0.0354198,1000,0.944149
0.0356294,(-0.00040682,0.00167968),(-0.000478504,0.000878085),0.0356294,1000,0.804798
0.0358389,(-0.000129258,0.00120629),(-0.000285344,0.000958425),0.0358389,1000,0.292913
0.0360485,(0.000695528,-0.000262406),(-7.96965e-05,0.000996819),0.0360485,1000,1.47872
0.0362581,(-0.000825118,-0.000902275),(0.000129439,0.000991587),0.0362581,1000,2.12082
0.0364677,(0.000208651,-0.000375016),(0.00033291,0.000942959),0.0364677,1000,1.32382
0.0366773,(0.000255347,-0.00109785),(0.000521811,0.000853061),0.0366773,1000,1.96902
0.0368869,(-0.000435194,-0.000296961),(0.000687875,0.000725829),0.0368869,1000,1.51901
0.0370965,(8.49746e-05,0.00077734),(0.000823834,0.000566832),0.0370965,1000,0.768262
0.037306,(0.000404566,0.000346786),(0.000923737,0.000383027),0.037306,1000,0.520434
0.0375156,(-0.000652549,0.000525125),(0.000983214,0.000182458),0.0375156,1000,1.67127
0.0377252,(-8.60998e-05,-0.00149307),(0.000999659,-2.60956e-05),0.0377252,1000,1.82507
0.0379348,(0.000397308,0.000286445),(0.000972355,-0.000233507),0.0379348,1000,0.775261
0.0381444,(0.00027958,0.000147257),(0.000902495,-0.000430699),0.0381444,1000,0.849739
0.038354,(-0.000488489,-6.58942e-05),(0.000793138,-0.000609042),0.038354,1000,1.39197
0.0385635,(-0.000501217,0.000491678),(0.000649069,-0.00076073),0.0385635,1000,1.7005
0.0387731,(9.83663e-05,-0.000924004),(0.000476593,-0.000879124),0.0387731,1000,0.38088
0.0389827,(0.000828121,0.000843358),(0.000283259,-0.000959043),0.0389827,1000,1.88296
0.0391923,(-0.00013061,-0.000206671),(7.75284e-05,-0.00099699),0.0391923,1000,0.817268
0.0394019,(-0.000618211,0.00206439),(-0.000131595,-0.000991304),0.0394019,1000,3.09419
0.0396115,(-0.000265393,0.00163354),(-0.00033496,-0.000942232),0.0396115,1000,2.57671
0.0398211,(0.000197294,0.00196599),(-0.000523665,-0.000851924),0.0398211,1000,2.90868
0.0400306,(0.00420576,-0.000248601),(-0.000689452,-0.000724332),0.0400306,1000,4.91827
0.0402402,(0.00293936,-0.00209464),(-0.000825064,-0.000565039),0.0402402,1000,4.06332
0.0404498,(0.000476894,0.00138773),(-0.000924568,-0.000381017),0.0404498,1000,2.25667
0.0406594,(-0.00127284,0.000967056),(-0.000983608,-0.000180319),0.0406594,1000,1.18327
0.040869,(-0.000783386,-0.000274552),(-0.0009996,2.82697e-05),0.040869,1000,0.372088
0.0410786,(0.00133684,0.000777501),(-0.000971845,0.000235621),0.0410786,1000,2.37143
0.0412881,(0.00171936,0.000469133),(-0.000901557,0.000432661),0.0412881,1000,2.62117
0.0414977,(0.0010926,9.44427e-07),(-0.000791812,0.000610765),0.0414977,1000,1.98063
0.0417073,(-0.000535667,-0.00125284),(-0.000647413,0.00076214),0.0417073,1000,2.01808
0.0419169,(0.000473083,0.000424455),(-0.00047468,0.000880158),0.0419169,1000,1.05163
