Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
1.17e+06,(0.000344911,0.00060402),(0.000818871,0.000573977),0.0245214,1000,0.474911
1.18e+06,(0.000386447,0.000428873),(0.00092037,0.000391048),0.024731,1000,0.535261
1.19e+06,(0.000387583,0.000236064),(0.000981589,0.000191005),0.0249406,1000,0.595712
1.2e+06,(0.000375115,3.40332e-05),(0.000999849,-1.73982e-05),0.0251501,1000,0.626847
1.21e+06,(0.000267713,-0.000168378),(0.00097435,-0.000225039),0.0253597,1000,0.708905
1.22e+06,(0.000117496,-0.000362312),(0.000906208,-0.000422832),0.0255693,1000,0.791031
1.23e+06,(-1.62015e-05,-0.000539286),(0.000798406,-0.000602119),0.0257789,1000,0.817027
1.24e+06,(-0.000217327,-0.000691559),(0.000655662,-0.000755054),0.0259885,1000,0.875295
1.25e+06,(-0.000443669,-0.000812472),(0.000484223,-0.000874945),0.0261981,1000,0.929993
1.26e+06,(-0.000645225,-0.000896736),(0.000291592,-0.000956543),0.0264076,1000,0.938724
1.27e+06,(-0.000891809,-0.000940668),(8.61987e-05,-0.000996278),0.0266172,1000,0.979587
1.28e+06,(-0.00110197,-0.000942346),(-0.000122967,-0.000992411),0.0268268,1000,0.980281
1.29e+06,(-0.0011979,-0.000901698),(-0.00032675,-0.000945111),0.0270364,1000,0.87223
1.3e+06,(-0.00128449,-0.000820499),(-0.000516234,-0.000856448),0.027246,1000,0.769101
1.31e+06,(-0.00139476,-0.000702299),(-0.000683124,-0.000730302),0.0274556,1000,0.712188
1.32e+06,(-0.00151227,-0.000552264),(-0.000820118,-0.000572195),0.0276652,1000,0.692443
1.33e+06,(-0.00159387,-0.000376948),(-0.000921219,-0.000389045),0.0278747,1000,0.672761
1.34e+06,(-0.00152496,-0.000184013),(-0.000982002,-0.000188869),0.0280843,1000,0.542984
1.35e+06,(-0.00145472,1.81138e-05),(-0.000999808,1.95727e-05),0.0282939,1000,0.454914
1.36e+06,(-0.0014898,0.000220604),(-0.000973858,0.000227158),0.0285035,1000,0.515985
1.37e+06,(-0.0013442,0.000414614),(-0.000905286,0.000424802),0.0287131,1000,0.439034
1.38e+06,(-0.0011637,0.000591674),(-0.000797095,0.000603854),0.0289227,1000,0.366807
1.39e+06,(-0.00113108,0.000744057),(-0.000654018,0.000756479),0.0291322,1000,0.477219
1.4e+06,(-0.000905366,0.000865114),(-0.000482319,0.000875996),0.0293418,1000,0.423187
1.41e+06,(-0.00076141,0.00094957),(-0.000289511,0.000957175),0.0295514,1000,0.47196
1.42e+06,(-0.000651484,0.000993749),(-8.40317e-05,0.000996463),0.029761,1000,0.567458
1.43e+06,(-0.000460909,0.000995735),(0.000125125,0.000992141),0.0299706,1000,0.586044
1.44e+06,(-0.000403529,0.00095546),(0.000328805,0.000944398),0.0301802,1000,0.732418
1.45e+06,(-0.000237466,0.000874701),(0.000518095,0.000855323),0.0303898,1000,0.75581
1.46e+06,(-0.000278174,0.000757006),(0.000684711,0.000728815),0.0305993,1000,0.963298
1.47e+06,(-0.000133438,0.000607535),(0.00082136,0.00057041),0.0308089,1000,0.95552
1.48e+06,(-0.000253408,0.000432837),(0.000922063,0.000387041),0.0310185,1000,1.17636
1.49e+06,(-0.000215662,0.000240564),(0.000982411,0.000186733),0.0312281,1000,1.19928
1.5e+06,(-0.000362463,3.91326e-05),(0.000999764,-2.17471e-05),0.0314377,1000,1.36359
1.51e+06,(-0.000408386,-0.000162641),(0.000973362,-0.000229276),0.0316473,1000,1.38335
1.52e+06,(-0.000639982,-0.000355926),(0.00090436,-0.00042677),0.0318568,1000,1.54597
1.53e+06,(-0.000713522,-0.000532267),(0.00079578,-0.000605586),0.0320664,1000,1.51108
1.54e+06,(-0.000957211,-0.000683949),(0.000652372,-0.000757899),0.032276,1000,1.61128
1.55e+06,(-0.00115469,-0.000804336),(0.000480413,-0.000877043),0.0324856,1000,1.63672
