X	    J0(x)	        Y0(x)
17.7	-0.068780399	-0.17669805
17.8	-0.050646446	-0.182170407
17.9	-0.032109458	-0.185797013
18	    -0.013355806	-0.18755216
18.1	0.005427025	    -0.187428809
18.2	0.024052292	    -0.185438566
18.3	0.042335838	    -0.181611459
18.4	0.060097892	    -0.175995547
18.5	0.077164821	    -0.168656345
18.6	0.093370816	    -0.159676088
18.7	0.108559484	    -0.149152825
18.8	0.122585344	    -0.137199371
18.9	0.135315211	    -0.123942113
19	    0.14662944	    -0.109519691
19.1	0.156423045	    -0.094081563
19.2	0.164606659	    -0.077786472
19.3	0.171107333	    -0.060800832
19.4	0.175869178	    -0.04329704
19.5	0.178853827	    -0.025451743
19.6	0.180040727	    -0.007444072
19.7	0.179427254	    0.010546147
19.8	0.177028643	    0.028340168
19.9	0.172877756	    0.045762094
20	    0.167024664	    0.062640597
20.1	0.159536068	    0.078810592
20.2	0.150494556	    0.094114843
20.3	0.139997712	    0.108405471
20.4	0.128157073	    0.121545383
20.5	0.11509696	    0.133409567
20.6	0.100953185	    0.143886273
20.7	0.085871653	    0.152878058
20.8	0.070006867	    0.160302681
20.9	0.053520363	    0.16609384
21	    0.036579071	    0.170201758
21.1	0.019353642	    0.172593599
21.2	0.002016739	    0.173253705
21.3	-0.015258682	0.172183682
21.4	-0.032301084	0.169402294
21.5	-0.048942044	0.164945203
21.6	-0.065017904	0.158864539
21.7	-0.080371373	0.151228301
21.8	-0.094853051	0.142119621
21.9	-0.108322878	0.131635862
22	    -0.120651476	0.119887598
22.1	-0.131721383	0.106997451
22.2	-0.141428166	0.093098827
22.3	-0.149681392	0.078334545
22.4	-0.156405467	0.06285538
22.5	-0.161540317	0.046818532
22.6	-0.165041915	0.030386042
22.7	-0.166882646	0.013723164
22.8	-0.167051512	-0.003003286
22.9	-0.165554165	-0.019626592
23	    -0.162412781	-0.03598179
23.1	-0.157665769	-0.051907294
23.2	-0.151367318	-0.067246484
23.3	-0.143586795	-0.081849237
23.4	-0.134407992	-0.095573392
23.5	-0.123928232	-0.108286118
23.6	-0.112257349	-0.119865198
23.7	-0.099516546	-0.130200195
